s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9609124E-005, 0.0000000E+000, 0.0000000E+000
 5.0160308E+000, 1.1392961E+002, 3.9565197E+001, 5.1397535E+001, 4.0998188E+001, 6.9993935E-003
 1.0008622E+001, 2.6431067E+002, 9.2079190E+001, 1.3413424E+002, 1.1204326E+002, 1.6369815E-002
 1.5011600E+001, 4.3393645E+002, 1.5508124E+002, 2.0564927E+002, 1.9631376E+002, 2.6998537E-002
 2.0001511E+001, 6.0291734E+002, 2.3695773E+002, 2.4205091E+002, 3.1740999E+002, 3.7551957E-002
 2.5013035E+001, 7.7355983E+002, 3.5645139E+002, 2.2703298E+002, 4.8926258E+002, 4.8233076E-002
 3.0002172E+001, 9.4339913E+002, 5.1547290E+002, 1.9023314E+002, 6.8867322E+002, 5.9026257E-002
 3.5005157E+001, 1.0547323E+003, 6.3271113E+002, 1.5628271E+002, 8.3066930E+002, 6.9694794E-002
 4.0010944E+001, 1.0940069E+003, 6.7926380E+002, 1.3762433E+002, 8.8550705E+002, 8.0490507E-002
 4.5002068E+001, 1.1327213E+003, 6.9101310E+002, 1.6579132E+002, 9.0613006E+002, 9.1256126E-002
 5.0009773E+001, 1.2384004E+003, 7.0859122E+002, 2.2659006E+002, 9.2809324E+002, 1.0198468E-001
 5.5005810E+001, 1.5677058E+003, 8.6476915E+002, 3.2240074E+002, 1.1064661E+003, 1.0775237E-001
 6.0018444E+001, 1.6164912E+003, 9.8458922E+002, 2.8987407E+002, 1.2765678E+003, 1.0861321E-001
 6.5014511E+001, 1.5907040E+003, 9.7299496E+002, 2.4595547E+002, 1.2455461E+003, 1.0948388E-001
 7.0006470E+001, 1.8026684E+003, 1.1331937E+003, 2.8047038E+002, 1.4496484E+003, 1.1034096E-001
 7.5012436E+001, 1.5582945E+003, 1.0006003E+003, 2.1265117E+002, 1.2871018E+003, 1.1120183E-001
 8.0008690E+001, 1.7789534E+003, 1.1011406E+003, 2.6145042E+002, 1.4026967E+003, 1.1208446E-001
 8.5012909E+001, 1.6792879E+003, 1.0780589E+003, 2.2943912E+002, 1.4065746E+003, 1.1291426E-001
 9.0011406E+001, 1.6478526E+003, 1.0755139E+003, 2.0424512E+002, 1.4008637E+003, 1.1379601E-001
 9.5010139E+001, 1.8639328E+003, 1.1609901E+003, 2.8846866E+002, 1.4783775E+003, 1.1465059E-001
 1.0001566E+002, 1.8411980E+003, 1.1711034E+003, 2.6661484E+002, 1.5010266E+003, 1.1551489E-001
 1.0501283E+002, 1.7134095E+003, 1.1217485E+003, 1.8972752E+002, 1.4778114E+003, 1.1635792E-001
 1.1001026E+002, 1.8233688E+003, 1.1762143E+003, 2.6135910E+002, 1.5280342E+003, 1.1723777E-001
 1.1500211E+002, 1.9732764E+003, 1.2469544E+003, 2.7376371E+002, 1.6080780E+003, 1.1810415E-001
 1.2000259E+002, 1.9588167E+003, 1.2544087E+003, 2.6237632E+002, 1.6186578E+003, 1.1896567E-001
 1.2501135E+002, 1.6709216E+003, 1.1287057E+003, 1.5103772E+002, 1.5144318E+003, 1.1983542E-001
 1.3000731E+002, 2.0036874E+003, 1.2157097E+003, 3.0988103E+002, 1.5952072E+003, 1.2069046E-001
 1.3500374E+002, 1.9627980E+003, 1.2662979E+003, 2.7359694E+002, 1.6790420E+003, 1.2155407E-001
 1.4000925E+002, 1.8447855E+003, 1.2121074E+003, 1.8323471E+002, 1.6018661E+003, 1.2241560E-001
 1.4501575E+002, 1.8780661E+003, 1.2307089E+003, 2.0332755E+002, 1.6344604E+003, 1.2327164E-001
 1.5000658E+002, 1.9573061E+003, 1.2678187E+003, 2.0810257E+002, 1.7005970E+003, 1.2412824E-001
 1.5500044E+002, 1.9179786E+003, 1.2661000E+003, 2.0230420E+002, 1.6944851E+003, 1.2499612E-001
 1.6000462E+002, 1.9069077E+003, 1.2159003E+003, 2.3273439E+002, 1.6249247E+003, 1.2586408E-001
 1.6500479E+002, 1.9422377E+003, 1.1915861E+003, 2.5072182E+002, 1.6201474E+003, 1.2672779E-001
 1.7000227E+002, 2.1032735E+003, 1.3211501E+003, 3.2005378E+002, 1.7878816E+003, 1.2758954E-001
 1.7500330E+002, 1.8772830E+003, 1.2187923E+003, 1.9640848E+002, 1.6729175E+003, 1.2844875E-001
 1.8000496E+002, 1.7849211E+003, 1.1801948E+003, 1.7133291E+002, 1.6387171E+003, 1.2931108E-001
 1.8500041E+002, 1.7795211E+003, 1.1329050E+003, 1.5936282E+002, 1.5790443E+003, 1.3017866E-001
 1.9000391E+002, 1.6150036E+003, 1.0983676E+003, 7.2948590E+001, 1.5648189E+003, 1.3102460E-001
 1.9500766E+002, 1.6038068E+003, 1.0563221E+003, 9.4435243E+001, 1.5094769E+003, 1.3189146E-001
 2.0001584E+002, 1.5000301E+003, 1.0286262E+003, 5.4477723E+001, 1.4765661E+003, 1.3276074E-001
 2.0500386E+002, 1.4441852E+003, 9.7780124E+002, 5.1058536E+001, 1.4110371E+003, 1.3361521E-001
 2.1001331E+002, 1.4635370E+003, 9.5458238E+002, 7.4674745E+001, 1.3873898E+003, 1.3448458E-001
 2.1501543E+002, 1.4725788E+003, 9.2816241E+002, 9.1105114E+001, 1.3477788E+003, 1.3535389E-001
 2.2000159E+002, 1.4247979E+003, 9.1809313E+002, 9.9810298E+001, 1.3428445E+003, 1.3620931E-001
 2.2500984E+002, 1.5040905E+003, 9.4288676E+002, 1.1367186E+002, 1.3531907E+003, 1.3707239E-001
 2.3000432E+002, 1.6114602E+003, 9.8756174E+002, 1.8026996E+002, 1.4123120E+003, 1.3791603E-001
 2.3500954E+002, 1.4563812E+003, 9.2691698E+002, 1.3131290E+002, 1.3559297E+003, 1.3879355E-001
 2.4001138E+002, 1.3736259E+003, 8.9705285E+002, 8.3885969E+001, 1.3095108E+003, 1.3965937E-001
 2.4501378E+002, 1.5877175E+003, 9.5603142E+002, 1.6456456E+002, 1.3662182E+003, 1.4052914E-001
 2.5001767E+002, 1.4362991E+003, 9.4392636E+002, 9.8816163E+001, 1.3726653E+003, 1.4134935E-001
 2.5500830E+002, 1.2906414E+003, 8.7004338E+002, 5.6272840E+001, 1.2791984E+003, 1.4224164E-001
 2.6001617E+002, 1.3292926E+003, 8.4665698E+002, 8.2168507E+001, 1.2328644E+003, 1.4311952E-001
 2.6500113E+002, 1.5283249E+003, 8.9340914E+002, 2.0397786E+002, 1.2823084E+003, 1.4397436E-001
 2.7001724E+002, 1.4057967E+003, 8.6969137E+002, 1.5554734E+002, 1.2553719E+003, 1.4483334E-001
 2.7501526E+002, 1.2973846E+003, 8.3728666E+002, 1.0753816E+002, 1.2236454E+003, 1.4569716E-001
 2.8000226E+002, 1.3285599E+003, 8.6156431E+002, 9.2384601E+001, 1.2475446E+003, 1.4655084E-001
 2.8501343E+002, 1.3439450E+003, 8.6011060E+002, 8.6979910E+001, 1.2427305E+003, 1.4742060E-001
 2.9000793E+002, 1.3163761E+003, 8.4599560E+002, 7.9653534E+001, 1.2316320E+003, 1.4828336E-001
 2.9500302E+002, 1.1521637E+003, 8.0053932E+002, 3.9902841E+001, 1.1778555E+003, 1.4914088E-001
 3.0001318E+002, 9.9649300E+002, 7.6294310E+002,-6.6750410E+001, 1.1368180E+003, 1.5000344E-001
 3.0501080E+002, 1.0979001E+003, 7.7725878E+002,-4.5673581E+001, 1.1389671E+003, 1.5086374E-001
 3.1000687E+002, 1.1942565E+003, 7.9742635E+002, 5.2127316E-001, 1.1522066E+003, 1.5173071E-001
 3.1501382E+002, 1.1833278E+003, 7.7939394E+002, 4.7537346E+001, 1.1398805E+003, 1.5259384E-001
