s,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
FDS Time,"TC1 (2.8 m)","TC10 (0.1 m)","TC2 (2.5 m)","TC3 (2.2 m)","TC4 (1.9 m)","TC5 (1.6 m)","TC6 (1.3 m)","TC7 (1.0 m)","TC8 (0.7 m)","TC9 (0.4 m)","Gauge 1 (1 m)","Gauge 2 (2 m)"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-4.6526452E-011,-4.6526452E-011
 2.7386129E-001, 1.9999990E+001, 1.9999988E+001, 1.9999997E+001, 1.9999997E+001, 1.9999999E+001, 1.9999996E+001, 1.9999998E+001, 1.9999994E+001, 1.9999995E+001, 2.0000018E+001,-4.6526509E-011,-4.6526509E-011
 4.5643547E-001, 1.9999983E+001, 1.9999979E+001, 1.9999995E+001, 1.9999994E+001, 1.9999998E+001, 1.9999994E+001, 1.9999996E+001, 1.9999989E+001, 1.9999991E+001, 2.0000031E+001,-4.8337881E-011,-4.5680054E-011
 6.3900965E-001, 1.9999977E+001, 1.9999973E+001, 1.9999993E+001, 1.9999992E+001, 1.9999997E+001, 1.9999993E+001, 1.9999995E+001, 1.9999985E+001, 1.9999988E+001, 2.0000042E+001,-4.9752089E-011,-4.5859537E-011
 8.2158381E-001, 1.9999972E+001, 1.9999966E+001, 1.9999991E+001, 1.9999991E+001, 1.9999995E+001, 1.9999992E+001, 1.9999993E+001, 1.9999981E+001, 1.9999985E+001, 2.0000052E+001,-5.1166296E-011,-4.6039020E-011
 1.0041580E+000, 1.9999967E+001, 1.9999959E+001, 1.9999990E+001, 1.9999989E+001, 1.9999994E+001, 1.9999991E+001, 1.9999992E+001, 1.9999977E+001, 1.9999982E+001, 2.0000063E+001,-5.2584426E-011,-4.9262553E-011
 1.2780193E+000, 1.9999961E+001, 1.9999952E+001, 1.9999987E+001, 1.9999987E+001, 1.9999993E+001, 1.9999990E+001, 1.9999991E+001, 1.9999971E+001, 1.9999979E+001, 2.0000076E+001,-5.2313396E-011,-5.6592057E-011
 1.4605935E+000, 1.9999955E+001, 1.9999944E+001, 1.9999985E+001, 1.9999984E+001, 1.9999991E+001, 1.9999989E+001, 1.9999989E+001, 1.9999965E+001, 1.9999976E+001, 2.0000088E+001,-5.5920566E-011,-6.4309461E-011
 1.6431676E+000, 1.9999950E+001, 1.9999938E+001, 1.9999983E+001, 1.9999983E+001, 1.9999989E+001, 1.9999989E+001, 1.9999988E+001, 1.9999961E+001, 1.9999974E+001, 2.0000099E+001,-5.9663250E-011,-6.8362112E-011
 1.8257419E+000, 1.9999946E+001, 1.9999936E+001, 1.9999981E+001, 1.9999981E+001, 1.9999988E+001, 1.9999989E+001, 1.9999988E+001, 1.9999960E+001, 1.9999980E+001, 2.0000111E+001, 9.4614072E-007, 1.1086277E-008
 2.0083160E+000, 1.9999942E+001, 1.9999977E+001, 1.9999979E+001, 1.9999980E+001, 1.9999988E+001, 1.9999993E+001, 2.0000000E+001, 2.0000031E+001, 2.0000090E+001, 2.0000146E+001, 1.7998009E-005, 2.8822580E-007
 2.2821772E+000, 1.9999946E+001, 2.0000069E+001, 1.9999996E+001, 1.9999996E+001, 2.0000054E+001, 2.0000075E+001, 2.0000076E+001, 2.0000211E+001, 2.0000333E+001, 2.0000214E+001, 6.8633171E-005, 1.6526663E-005
 2.4647515E+000, 1.9999959E+001, 2.0000167E+001, 2.0000031E+001, 2.0000030E+001, 2.0000187E+001, 2.0000233E+001, 2.0000201E+001, 2.0000426E+001, 2.0000596E+001, 2.0000286E+001, 1.3579976E-004, 4.8449257E-005
 2.6473258E+000, 2.0000021E+001, 2.0000195E+001, 2.0000079E+001, 2.0000045E+001, 2.0000214E+001, 2.0000254E+001, 2.0000218E+001, 2.0000468E+001, 2.0000674E+001, 2.0000324E+001, 1.4540918E-004, 5.8499359E-005
 2.8298998E+000, 2.0000080E+001, 2.0000196E+001, 2.0000124E+001, 2.0000058E+001, 2.0000233E+001, 2.0000266E+001, 2.0000223E+001, 2.0000472E+001, 2.0000683E+001, 2.0000340E+001, 1.4645906E-004, 6.6922991E-005
 3.0124741E+000, 2.0000139E+001, 2.0000197E+001, 2.0000168E+001, 2.0000071E+001, 2.0000252E+001, 2.0000278E+001, 2.0000229E+001, 2.0000476E+001, 2.0000691E+001, 2.0000356E+001, 1.4750894E-004, 7.5346624E-005
 3.2863352E+000, 2.0000149E+001, 2.0000301E+001, 2.0000177E+001, 2.0000079E+001, 2.0000263E+001, 2.0000295E+001, 2.0000257E+001, 2.0000612E+001, 2.0000952E+001, 2.0000452E+001, 1.7533900E-004, 7.6637073E-005
 3.4689095E+000, 2.0000162E+001, 2.0001154E+001, 2.0000191E+001, 2.0000092E+001, 2.0000302E+001, 2.0000374E+001, 2.0000522E+001, 2.0001979E+001, 2.0002974E+001, 2.0000943E+001, 4.8390873E-004, 8.3177525E-005
 3.6514838E+000, 2.0000238E+001, 2.0001604E+001, 2.0000353E+001, 2.0000246E+001, 2.0000871E+001, 2.0001039E+001, 2.0001059E+001, 2.0002898E+001, 2.0004087E+001, 2.0001221E+001, 7.6287045E-004, 2.1621323E-004
 3.8340578E+000, 2.0000315E+001, 2.0002055E+001, 2.0000515E+001, 2.0000400E+001, 2.0001440E+001, 2.0001704E+001, 2.0001598E+001, 2.0003815E+001, 2.0005200E+001, 2.0001500E+001, 1.0418322E-003, 3.4924893E-004
 4.0166321E+000, 2.0000624E+001, 2.0002229E+001, 2.0000757E+001, 2.0000485E+001, 2.0001589E+001, 2.0001824E+001, 2.0001705E+001, 2.0004052E+001, 2.0005582E+001, 2.0001672E+001, 1.0889429E-003, 3.9677829E-004
 4.2904935E+000, 2.0000922E+001, 2.0002277E+001, 2.0000981E+001, 2.0000561E+001, 2.0001700E+001, 2.0001899E+001, 2.0001761E+001, 2.0004124E+001, 2.0005666E+001, 2.0001740E+001, 1.0970656E-003, 4.3654284E-004
 4.4730678E+000, 2.0001102E+001, 2.0002523E+001, 2.0001120E+001, 2.0000620E+001, 2.0001789E+001, 2.0001976E+001, 2.0001855E+001, 2.0004437E+001, 2.0006210E+001, 2.0001954E+001, 1.1533399E-003, 4.5945219E-004
 4.6556416E+000, 2.0001132E+001, 2.0002746E+001, 2.0001146E+001, 2.0000642E+001, 2.0001821E+001, 2.0002018E+001, 2.0001922E+001, 2.0004709E+001, 2.0006711E+001, 2.0002137E+001, 1.2055527E-003, 4.6247926E-004
 4.8382158E+000, 2.0001203E+001, 2.0006454E+001, 2.0001220E+001, 2.0000712E+001, 2.0002010E+001, 2.0002367E+001, 2.0003059E+001, 2.0010337E+001, 2.0014878E+001, 2.0004149E+001, 2.4816228E-003, 4.9156941E-004
 5.0207901E+000, 2.0001643E+001, 2.0009404E+001, 2.0002164E+001, 2.0001612E+001, 2.0005347E+001, 2.0006251E+001, 2.0006248E+001, 2.0015944E+001, 2.0021798E+001, 2.0005847E+001, 4.1707676E-003, 1.2661820E-003
 5.2033644E+000, 2.0002082E+001, 2.0012358E+001, 2.0003108E+001, 2.0002514E+001, 2.0008682E+001, 2.0010136E+001, 2.0009444E+001, 2.0021545E+001, 2.0028717E+001, 2.0007545E+001, 5.8599124E-003, 2.0407945E-003
 5.4772258E+000, 2.0004521E+001, 2.0013618E+001, 2.0005006E+001, 2.0003153E+001, 2.0009752E+001, 2.0010922E+001, 2.0010142E+001, 2.0023164E+001, 2.0031454E+001, 2.0008664E+001, 6.2012514E-003, 2.4114346E-003
 5.6597996E+000, 2.0008358E+001, 2.0014048E+001, 2.0007859E+001, 2.0004059E+001, 2.0011016E+001, 2.0011629E+001, 2.0010635E+001, 2.0023886E+001, 2.0032259E+001, 2.0009177E+001, 6.2782239E-003, 2.9044649E-003
 5.8423738E+000, 2.0008588E+001, 2.0016291E+001, 2.0008058E+001, 2.0004229E+001, 2.0011244E+001, 2.0011898E+001, 2.0011177E+001, 2.0026472E+001, 2.0036899E+001, 2.0010912E+001, 6.7841599E-003, 2.9266259E-003
 6.0249481E+000, 2.0008820E+001, 2.0018520E+001, 2.0008255E+001, 2.0004402E+001, 2.0011472E+001, 2.0012168E+001, 2.0011723E+001, 2.0029083E+001, 2.0041566E+001, 2.0012654E+001, 7.2900960E-003, 2.9487869E-003
 6.2075224E+000, 2.0009365E+001, 2.0051961E+001, 2.0008829E+001, 2.0004959E+001, 2.0012984E+001, 2.0015013E+001, 2.0021257E+001, 2.0074771E+001, 2.0105869E+001, 2.0031002E+001, 1.7767857E-002, 3.1915916E-003
 6.4813838E+000, 2.0012796E+001, 2.0073096E+001, 2.0015963E+001, 2.0011815E+001, 2.0036757E+001, 2.0042183E+001, 2.0043780E+001, 2.0112871E+001, 2.0149981E+001, 2.0044576E+001, 2.9263898E-002, 8.8410899E-003
 6.6639576E+000, 2.0017707E+001, 2.0085970E+001, 2.0022034E+001, 2.0016367E+001, 2.0050326E+001, 2.0057252E+001, 2.0056734E+001, 2.0135196E+001, 2.0176140E+001, 2.0053624E+001, 3.5587785E-002, 1.2144269E-002
 6.8310237E+000, 2.0020887E+001, 2.0088279E+001, 2.0024523E+001, 2.0017535E+001, 2.0051978E+001, 2.0058705E+001, 2.0058451E+001, 2.0138531E+001, 2.0180241E+001, 2.0055867E+001, 3.6163652E-002, 1.2622700E-002
 7.0583596E+000, 2.0026335E+001, 2.0090533E+001, 2.0028820E+001, 2.0019703E+001, 2.0054778E+001, 2.0061052E+001, 2.0061022E+001, 2.0142435E+001, 2.0183749E+001, 2.0058399E+001, 3.6470644E-002, 1.3364650E-002
 7.2099171E+000, 2.0027481E+001, 2.0093170E+001, 2.0029950E+001, 2.0021013E+001, 2.0056309E+001, 2.0062725E+001, 2.0063445E+001, 2.0146954E+001, 2.0187632E+001, 2.0061631E+001, 3.6915051E-002, 1.3485511E-002
 7.4524088E+000, 2.0028166E+001, 2.0096159E+001, 2.0030573E+001, 2.0021617E+001, 2.0057015E+001, 2.0063593E+001, 2.0065322E+001, 2.0149350E+001, 2.0188044E+001, 2.0065634E+001, 3.7480295E-002, 1.3545983E-002
 7.6191216E+000, 2.0028680E+001, 2.0096089E+001, 2.0030440E+001, 2.0021118E+001, 2.0053918E+001, 2.0059650E+001, 2.0063040E+001, 2.0146010E+001, 2.0182303E+001, 2.0067308E+001, 3.6168433E-002, 1.2793896E-002
 7.8691912E+000, 2.0028253E+001, 2.0094429E+001, 2.0029505E+001, 2.0020218E+001, 2.0050222E+001, 2.0055176E+001, 2.0059842E+001, 2.0141401E+001, 2.0176116E+001, 2.0067017E+001, 3.4561413E-002, 1.1908325E-002
 8.0271893E+000, 2.0027049E+001, 2.0094160E+001, 2.0028507E+001, 2.0019835E+001, 2.0049665E+001, 2.0054884E+001, 2.0059759E+001, 2.0141058E+001, 2.0175473E+001, 2.0067036E+001, 3.4536339E-002, 1.1701828E-002
 8.2511148E+000, 2.0024598E+001, 2.0094017E+001, 2.0026636E+001, 2.0019172E+001, 2.0048756E+001, 2.0054380E+001, 2.0059426E+001, 2.0140523E+001, 2.0175043E+001, 2.0067098E+001, 3.4564798E-002, 1.1378965E-002
 8.4003973E+000, 2.0024437E+001, 2.0091888E+001, 2.0026446E+001, 2.0018858E+001, 2.0048302E+001, 2.0053819E+001, 2.0058486E+001, 2.0137708E+001, 2.0171749E+001, 2.0065398E+001, 3.4113082E-002, 1.1377221E-002
 8.6243229E+000, 2.0024226E+001, 2.0086564E+001, 2.0026176E+001, 2.0018487E+001, 2.0047680E+001, 2.0053054E+001, 2.0057000E+001, 2.0132439E+001, 2.0166280E+001, 2.0062501E+001, 3.3238531E-002, 1.1340671E-002
 8.8482475E+000, 2.0023704E+001, 2.0082278E+001, 2.0025280E+001, 2.0017538E+001, 2.0045060E+001, 2.0050140E+001, 2.0054520E+001, 2.0127786E+001, 2.0161680E+001, 2.0059825E+001, 3.2444186E-002, 1.0839773E-002
 9.0721731E+000, 2.0023252E+001, 2.0080796E+001, 2.0024628E+001, 2.0016880E+001, 2.0043448E+001, 2.0048321E+001, 2.0052977E+001, 2.0125354E+001, 2.0159632E+001, 2.0058644E+001, 3.2208077E-002, 1.0577739E-002
 9.2214556E+000, 2.0022987E+001, 2.0080085E+001, 2.0024346E+001, 2.0016594E+001, 2.0042958E+001, 2.0047715E+001, 2.0052248E+001, 2.0123781E+001, 2.0158399E+001, 2.0058099E+001, 3.2165609E-002, 1.0566978E-002
 9.4453812E+000, 2.0022795E+001, 2.0079445E+001, 2.0024117E+001, 2.0016352E+001, 2.0042512E+001, 2.0047164E+001, 2.0051584E+001, 2.0122298E+001, 2.0157354E+001, 2.0057663E+001, 3.2142584E-002, 1.0567419E-002
 9.6693058E+000, 2.0022665E+001, 2.0079078E+001, 2.0023893E+001, 2.0016109E+001, 2.0042019E+001, 2.0046484E+001, 2.0050636E+001, 2.0120995E+001, 2.0157569E+001, 2.0057086E+001, 3.2124045E-002, 1.0581913E-002
 9.8185892E+000, 2.0022553E+001, 2.0079223E+001, 2.0023710E+001, 2.0015927E+001, 2.0041647E+001, 2.0045866E+001, 2.0049658E+001, 2.0120460E+001, 2.0159154E+001, 2.0056536E+001, 3.2124345E-002, 1.0607542E-002
 1.0042514E+001, 2.0023288E+001, 2.0083823E+001, 2.0024977E+001, 2.0016902E+001, 2.0045338E+001, 2.0050813E+001, 2.0054866E+001, 2.0128671E+001, 2.0170023E+001, 2.0060436E+001, 3.5615672E-002, 1.1762490E-002
 1.0256449E+001, 2.0023961E+001, 2.0083844E+001, 2.0025362E+001, 2.0016902E+001, 2.0045268E+001, 2.0050615E+001, 2.0054711E+001, 2.0128030E+001, 2.0169883E+001, 2.0060658E+001, 3.5873100E-002, 1.1915165E-002
 1.0441018E+001, 2.0024991E+001, 2.0083759E+001, 2.0026076E+001, 2.0017027E+001, 2.0045345E+001, 2.0050435E+001, 2.0054491E+001, 2.0127218E+001, 2.0169228E+001, 2.0060696E+001, 3.5936462E-002, 1.2118636E-002
 1.0606819E+001, 2.0025067E+001, 2.0084484E+001, 2.0026072E+001, 2.0017017E+001, 2.0045241E+001, 2.0050271E+001, 2.0054463E+001, 2.0127326E+001, 2.0170284E+001, 2.0061341E+001, 3.6141506E-002, 1.2155862E-002
 1.0827887E+001, 2.0025435E+001, 2.0091436E+001, 2.0026598E+001, 2.0017491E+001, 2.0046694E+001, 2.0051876E+001, 2.0056932E+001, 2.0136310E+001, 2.0184143E+001, 2.0065206E+001, 3.8934900E-002, 1.2673923E-002
 1.1048955E+001, 2.0026592E+001, 2.0097290E+001, 2.0028214E+001, 2.0018766E+001, 2.0050882E+001, 2.0056268E+001, 2.0061096E+001, 2.0144277E+001, 2.0194248E+001, 2.0069102E+001, 4.2023369E-002, 1.4036074E-002
 1.1214755E+001, 2.0027563E+001, 2.0097831E+001, 2.0028912E+001, 2.0019006E+001, 2.0051270E+001, 2.0056505E+001, 2.0061448E+001, 2.0144294E+001, 2.0195270E+001, 2.0069821E+001, 4.2180071E-002, 1.4249154E-002
 1.1435823E+001, 2.0027940E+001, 2.0098398E+001, 2.0029160E+001, 2.0019117E+001, 2.0051473E+001, 2.0056639E+001, 2.0061772E+001, 2.0144403E+001, 2.0196725E+001, 2.0070562E+001, 4.2314470E-002, 1.4340595E-002
 1.1601624E+001, 2.0028148E+001, 2.0103668E+001, 2.0029325E+001, 2.0019291E+001, 2.0051789E+001, 2.0057087E+001, 2.0063398E+001, 2.0149959E+001, 2.0205443E+001, 2.0074187E+001, 4.4079616E-002, 1.4443226E-002
 1.1822692E+001, 2.0029086E+001, 2.0108852E+001, 2.0030887E+001, 2.0020655E+001, 2.0056069E+001, 2.0061490E+001, 2.0067557E+001, 2.0156720E+001, 2.0213546E+001, 2.0076665E+001, 4.6652072E-002, 1.5837664E-002
 1.2043759E+001, 2.0030073E+001, 2.0109703E+001, 2.0031619E+001, 2.0020908E+001, 2.0056583E+001, 2.0061812E+001, 2.0068047E+001, 2.0157054E+001, 2.0215241E+001, 2.0077474E+001, 4.6825719E-002, 1.6077542E-002
 1.2209560E+001, 2.0030616E+001, 2.0110804E+001, 2.0031999E+001, 2.0021066E+001, 2.0056954E+001, 2.0062073E+001, 2.0068554E+001, 2.0157782E+001, 2.0217563E+001, 2.0078398E+001, 4.7050251E-002, 1.6216128E-002
 1.2430629E+001, 2.0030633E+001, 2.0113774E+001, 2.0032013E+001, 2.0021194E+001, 2.0057336E+001, 2.0062506E+001, 2.0069613E+001, 2.0161043E+001, 2.0224100E+001, 2.0080608E+001, 4.7998625E-002, 1.6324693E-002
 1.2651696E+001, 2.0031125E+001, 2.0117337E+001, 2.0032857E+001, 2.0021969E+001, 2.0060016E+001, 2.0065515E+001, 2.0072488E+001, 2.0165430E+001, 2.0230747E+001, 2.0082727E+001, 4.9697214E-002, 1.7120495E-002
 1.2817497E+001, 2.0031610E+001, 2.0117842E+001, 2.0033169E+001, 2.0022125E+001, 2.0060389E+001, 2.0065790E+001, 2.0072906E+001, 2.0165566E+001, 2.0231599E+001, 2.0083186E+001, 4.9814155E-002, 1.7292824E-002
 1.3032672E+001, 2.0032744E+001, 2.0118543E+001, 2.0033300E+001, 2.0022312E+001, 2.0060737E+001, 2.0066098E+001, 2.0073399E+001, 2.0166034E+001, 2.0232822E+001, 2.0083817E+001, 4.9997893E-002, 1.7455415E-002
 1.3230166E+001, 2.0059193E+001, 2.0125233E+001, 2.0033006E+001, 2.0022471E+001, 2.0061044E+001, 2.0066687E+001, 2.0075441E+001, 2.0173513E+001, 2.0243422E+001, 2.0087326E+001, 5.2311692E-002, 1.7571026E-002
 1.3427661E+001, 2.0401188E+001, 2.0131225E+001, 2.0034315E+001, 2.0023748E+001, 2.0065437E+001, 2.0071514E+001, 2.0080245E+001, 2.0182158E+001, 2.0254585E+001, 2.0091305E+001, 5.5540788E-002, 1.9064756E-002
 1.3625155E+001, 2.2107615E+001, 2.0131945E+001, 2.0037956E+001, 2.0024000E+001, 2.0065720E+001, 2.0071997E+001, 2.0080892E+001, 2.0182788E+001, 2.0255634E+001, 2.0091918E+001, 5.5656457E-002, 1.9205587E-002
 1.3822650E+001, 2.5432714E+001, 2.0132819E+001, 2.0060923E+001, 2.0024381E+001, 2.0065962E+001, 2.0072546E+001, 2.0081606E+001, 2.0183610E+001, 2.0257012E+001, 2.0092652E+001, 5.5788619E-002, 1.9350848E-002
 1.4020144E+001, 2.7784443E+001, 2.0132525E+001, 2.0136076E+001, 2.0024779E+001, 2.0066126E+001, 2.0073234E+001, 2.0082393E+001, 2.0184275E+001, 2.0259645E+001, 2.0093651E+001, 5.5967955E-002, 1.9452517E-002
 1.4217639E+001, 2.7212299E+001, 2.0132862E+001, 2.0273438E+001, 2.0025303E+001, 2.0066294E+001, 2.0074054E+001, 2.0083300E+001, 2.0184820E+001, 2.0259705E+001, 2.0093612E+001, 5.6189530E-002, 1.9600079E-002
 1.4415133E+001, 2.5108271E+001, 2.0133461E+001, 2.0438913E+001, 2.0026187E+001, 2.0066172E+001, 2.0074469E+001, 2.0083771E+001, 2.0185325E+001, 2.0260409E+001, 2.0094087E+001, 5.6284272E-002, 1.9710398E-002
