s,s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TIMER1","TIMER2","TIMER3","rear_door","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0083709E+000, 2.9908367E+000, 2.9908367E+000, 2.9908367E+000, 2.9908367E+000, 1.8947032E+002, 1.8351938E+002, 9.1649602E+001, 6.0087932E+001, 3.6717660E+001, 3.0697942E+001, 2.8152430E+001, 2.1722303E+001, 2.1256204E+001, 2.1811575E+001, 2.2494600E+001, 2.2304744E+001, 2.1222962E+001, 2.0827673E+001, 2.0016541E+001, 2.0017503E+001, 2.0028630E+001, 2.1093313E+001, 2.1713723E+001, 2.1380016E+001, 2.0677704E+001
 1.0013607E+001, 7.4820098E+000, 7.4820098E+000, 7.4820098E+000, 7.4820098E+000, 4.0470523E+002, 3.9970442E+002, 2.5606690E+002, 2.1886347E+002, 1.0289295E+002, 5.7643156E+001, 3.8161456E+001, 1.0024060E+002, 5.5823516E+001, 2.8935093E+001, 2.5076673E+001, 2.4588795E+001, 2.1557967E+001, 2.1123785E+001, 2.0022980E+001, 2.0023688E+001, 2.0045586E+001, 2.0973822E+001, 2.1726866E+001, 2.1539654E+001, 2.0838291E+001
 1.5008835E+001, 1.2527626E+001, 1.2527626E+001, 1.2527626E+001, 1.2527626E+001, 4.9827633E+002, 4.8763824E+002, 3.3416738E+002, 2.8148589E+002, 1.9816387E+002, 6.5245125E+001, 3.5722048E+001, 2.0179559E+002, 1.6537422E+002, 1.0046772E+002, 3.7620145E+001, 3.4322197E+001, 2.3068124E+001, 2.1647789E+001, 3.6563188E+001, 2.7476809E+001, 2.1748209E+001, 2.0599337E+001, 2.3119049E+001, 2.2328932E+001, 2.1092029E+001
 2.0002609E+001, 1.7502656E+001, 1.7502656E+001, 1.7502656E+001, 1.7502656E+001, 5.2040413E+002, 5.2571013E+002, 3.6028820E+002, 2.9613955E+002, 2.4172388E+002, 1.3093567E+002, 5.1998322E+001, 2.2412576E+002, 1.9818956E+002, 1.3299791E+002, 3.6284857E+001, 2.9678566E+001, 2.2251409E+001, 2.1980502E+001, 5.3259168E+001, 3.5133468E+001, 2.0048809E+001, 2.0794250E+001, 2.1138511E+001, 2.1263205E+001, 2.1002125E+001
 2.5003132E+001, 2.2453645E+001, 2.2453645E+001, 2.2453645E+001, 2.2453645E+001, 4.8049154E+002, 4.1310259E+002, 3.3351013E+002, 3.1139757E+002, 2.8405961E+002, 1.5787006E+002, 6.4359758E+001, 2.4758543E+002, 2.2712505E+002, 1.5652082E+002, 3.6537391E+001, 2.7924604E+001, 2.3752188E+001, 2.2860779E+001, 7.9240312E+001, 3.6176033E+001, 2.2516666E+001, 2.2171562E+001, 2.1544968E+001, 2.1617375E+001, 2.1352130E+001
 3.0007078E+001, 2.7483497E+001, 2.7483497E+001, 2.7483497E+001, 2.7483497E+001, 4.2089053E+002, 3.4398538E+002, 3.1499612E+002, 3.1612055E+002, 2.9475689E+002, 1.7872107E+002, 5.8286732E+001, 2.3462993E+002, 2.2857806E+002, 2.0224986E+002, 5.5731050E+001, 2.7912854E+001, 2.5137364E+001, 2.4291277E+001, 9.1980856E+001, 5.5457695E+001, 3.9023469E+001, 3.1727258E+001, 2.7974880E+001, 2.4074747E+001, 2.2350037E+001
 3.5015862E+001, 3.2477519E+001, 3.2477519E+001, 3.2477519E+001, 3.2477519E+001, 2.5611741E+002, 3.3655986E+002, 3.3128866E+002, 3.3590442E+002, 3.3522048E+002, 2.5170798E+002, 8.6091589E+001, 2.1896643E+002, 2.2831868E+002, 2.1849755E+002, 1.0527699E+002, 3.1948483E+001, 2.6416393E+001, 2.4986642E+001, 1.1939520E+002, 7.2754203E+001, 5.2824083E+001, 3.6883811E+001, 2.8323564E+001, 2.4137222E+001, 2.2741121E+001
 4.0024014E+001, 3.7586345E+001, 3.7586345E+001, 3.7586345E+001, 3.7586345E+001, 2.4523608E+002, 3.5800190E+002, 3.3987719E+002, 3.3395021E+002, 3.4927144E+002, 3.1959601E+002, 1.9902112E+002, 2.6375559E+002, 2.5493182E+002, 2.4141089E+002, 1.4924564E+002, 3.7172557E+001, 2.8302229E+001, 2.6800405E+001, 1.7094785E+002, 1.1966609E+002, 7.2581861E+001, 5.9878258E+001, 3.5173198E+001, 2.5013827E+001, 2.3556025E+001
