s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-4.730E-03, 1.796E-05, 1.196E+00
 3.004E+01, 1.254E-03,-1.602E-03, 4.633E-05, 1.196E+00
 6.008E+01, 3.701E-03, 2.423E-03, 3.267E-05, 1.196E+00
 9.012E+01, 6.086E-03, 5.313E-03, 3.524E-05, 1.196E+00
 1.202E+02, 8.427E-03, 6.639E-03, 4.562E-05, 1.196E+00
 1.500E+02, 1.075E-02, 8.591E-03, 3.044E-05, 1.196E+00
 1.801E+02, 1.309E-02, 1.313E-02, 2.475E-05, 1.196E+00
 2.101E+02, 1.541E-02, 1.622E-02, 2.647E-05, 1.196E+00
 2.401E+02, 1.766E-02, 1.961E-02, 2.426E-05, 1.196E+00
 2.702E+02, 1.982E-02, 2.165E-02, 2.340E-05, 1.196E+00
 3.000E+02, 2.192E-02, 2.415E-02, 2.127E-05, 1.196E+00
 3.301E+02, 2.395E-02, 2.678E-02, 2.445E-05, 1.196E+00
 3.601E+02, 2.594E-02, 2.820E-02, 2.181E-05, 1.196E+00
 3.901E+02, 2.787E-02, 3.094E-02, 2.150E-05, 1.196E+00
 4.202E+02, 2.975E-02, 3.361E-02, 2.109E-05, 1.196E+00
 4.500E+02, 3.157E-02, 3.647E-02, 2.077E-05, 1.196E+00
 4.801E+02, 3.334E-02, 3.866E-02, 2.067E-05, 1.196E+00
 5.101E+02, 3.506E-02, 4.149E-02, 2.174E-05, 1.196E+00
 5.402E+02, 3.674E-02, 4.379E-02, 2.079E-05, 1.196E+00
 5.700E+02, 3.837E-02, 4.619E-02, 2.067E-05, 1.196E+00
 6.000E+02, 3.995E-02, 4.832E-02, 2.050E-05, 1.196E+00
 6.301E+02, 4.150E-02, 5.100E-02, 2.202E-05, 1.196E+00
 6.601E+02, 4.300E-02, 5.372E-02, 2.291E-05, 1.196E+00
 6.902E+02, 4.446E-02, 5.606E-02, 2.342E-05, 1.196E+00
