s,
Time,"Acts"
 0.000E+000, 0.000E+000
 1.006E+001, 0.000E+000
 2.001E+001, 0.000E+000
 3.001E+001, 0.000E+000
 4.003E+001, 0.000E+000
 5.000E+001, 0.000E+000
 6.003E+001, 0.000E+000
 7.003E+001, 0.000E+000
 8.001E+001, 0.000E+000
 9.001E+001, 0.000E+000
 1.000E+002, 0.000E+000
 1.100E+002, 0.000E+000
 1.200E+002, 0.000E+000
 1.300E+002, 2.000E+000
 1.400E+002, 2.000E+000
 1.500E+002, 2.000E+000
 1.600E+002, 3.000E+000
 1.700E+002, 3.000E+000
 1.800E+002, 4.000E+000
 1.900E+002, 5.000E+000
 2.000E+002, 8.000E+000
 2.100E+002, 8.000E+000
 2.200E+002, 8.000E+000
 2.300E+002, 8.000E+000
 2.400E+002, 8.000E+000
 2.500E+002, 8.000E+000
 2.600E+002, 8.000E+000
 2.700E+002, 8.000E+000
 2.800E+002, 8.000E+000
 2.900E+002, 8.000E+000
 3.000E+002, 8.000E+000
 3.100E+002, 8.000E+000
 3.200E+002, 8.000E+000
 3.300E+002, 8.000E+000
 3.400E+002, 8.000E+000
 3.500E+002, 8.000E+000
 3.600E+002, 8.000E+000
 3.700E+002, 8.000E+000
 3.800E+002, 8.000E+000
 3.900E+002, 8.000E+000
 4.000E+002, 8.000E+000
 4.100E+002, 8.000E+000
 4.200E+002, 8.000E+000
 4.300E+002, 8.000E+000
 4.400E+002, 8.000E+000
 4.500E+002, 8.000E+000
 4.600E+002, 8.000E+000
 4.700E+002, 8.000E+000
 4.800E+002, 8.000E+000
 4.900E+002, 8.000E+000
 5.000E+002, 8.000E+000
 5.100E+002, 8.000E+000
 5.200E+002, 8.000E+000
 5.300E+002, 8.000E+000
 5.400E+002, 8.000E+000
 5.500E+002, 8.000E+000
 5.600E+002, 8.000E+000
 5.700E+002, 8.000E+000
 5.800E+002, 8.000E+000
 5.900E+002, 8.000E+000
 6.000E+002, 8.000E+000
 6.100E+002, 8.000E+000
 6.200E+002, 8.000E+000
 6.300E+002, 8.000E+000
 6.400E+002, 8.000E+000
 6.500E+002, 8.000E+000
 6.600E+002, 8.000E+000
 6.700E+002, 8.000E+000
 6.800E+002, 8.000E+000
 6.900E+002, 8.000E+000
 7.000E+002, 8.000E+000
 7.100E+002, 8.000E+000
 7.200E+002, 8.000E+000
 7.300E+002, 8.000E+000
 7.400E+002, 8.000E+000
 7.500E+002, 8.000E+000
 7.600E+002, 8.000E+000
 7.700E+002, 8.000E+000
 7.800E+002, 8.000E+000
 7.900E+002, 8.000E+000
 8.000E+002, 8.000E+000
 8.100E+002, 8.000E+000
 8.200E+002, 8.000E+000
 8.300E+002, 8.000E+000
 8.400E+002, 8.000E+000
 8.500E+002, 8.000E+000
 8.600E+002, 8.000E+000
 8.700E+002, 8.000E+000
 8.800E+002, 8.000E+000
 8.900E+002, 8.000E+000
 9.000E+002, 8.000E+000
 9.100E+002, 8.000E+000
 9.200E+002, 8.000E+000
 9.300E+002, 8.000E+000
 9.400E+002, 8.000E+000
 9.500E+002, 8.000E+000
 9.600E+002, 8.000E+000
 9.700E+002, 8.000E+000
 9.800E+002, 8.000E+000
 9.900E+002, 8.000E+000
 1.000E+003, 8.000E+000
 1.010E+003, 8.000E+000
 1.020E+003, 8.000E+000
 1.030E+003, 8.000E+000
 1.040E+003, 8.000E+000
 1.050E+003, 8.000E+000
 1.060E+003, 8.000E+000
 1.070E+003, 8.000E+000
 1.080E+003, 8.000E+000
 1.090E+003, 8.000E+000
 1.100E+003, 8.000E+000
 1.110E+003, 8.000E+000
 1.120E+003, 8.000E+000
 1.130E+003, 8.000E+000
 1.140E+003, 8.000E+000
 1.150E+003, 8.000E+000
 1.160E+003, 8.000E+000
 1.170E+003, 8.000E+000
 1.180E+003, 8.000E+000
 1.190E+003, 8.000E+000
 1.200E+003, 8.000E+000
 1.210E+003, 8.000E+000
 1.220E+003, 8.000E+000
 1.230E+003, 8.000E+000
 1.240E+003, 8.000E+000
 1.250E+003, 8.000E+000
 1.260E+003, 8.000E+000
 1.270E+003, 8.000E+000
 1.280E+003, 8.000E+000
 1.290E+003, 8.000E+000
 1.300E+003, 8.000E+000
 1.310E+003, 8.000E+000
 1.320E+003, 8.000E+000
 1.330E+003, 8.000E+000
 1.340E+003, 8.000E+000
 1.350E+003, 8.000E+000
 1.360E+003, 8.000E+000
 1.370E+003, 8.000E+000
 1.380E+003, 8.000E+000
 1.390E+003, 8.000E+000
 1.400E+003, 8.000E+000
 1.410E+003, 8.000E+000
 1.420E+003, 8.000E+000
 1.430E+003, 8.000E+000
 1.440E+003, 8.000E+000
 1.450E+003, 8.000E+000
 1.460E+003, 8.000E+000
 1.470E+003, 8.000E+000
 1.480E+003, 8.000E+000
 1.490E+003, 8.000E+000
 1.500E+003, 8.000E+000
 1.510E+003, 8.000E+000
 1.520E+003, 8.000E+000
 1.530E+003, 8.000E+000
 1.540E+003, 8.000E+000
 1.550E+003, 8.000E+000
 1.560E+003, 8.000E+000
 1.570E+003, 8.000E+000
 1.580E+003, 8.000E+000
 1.590E+003, 8.000E+000
 1.600E+003, 8.000E+000
 1.610E+003, 8.000E+000
 1.620E+003, 8.000E+000
 1.630E+003, 8.000E+000
 1.640E+003, 8.000E+000
 1.650E+003, 8.000E+000
 1.660E+003, 8.000E+000
 1.670E+003, 8.000E+000
 1.680E+003, 8.000E+000
 1.690E+003, 8.000E+000
 1.700E+003, 8.000E+000
 1.710E+003, 8.000E+000
