0.00,0.00000,8.00000,400.00000,0.00000
0.05,15.06456,7.98968,232.55814,-0.38744
0.10,24.77772,7.96255,163.93443,-0.69082
0.15,31.96033,7.92102,126.58228,-0.96759
0.20,37.66209,7.86598,103.09278,-1.23258
0.25,42.39045,7.79787,86.95652,-1.49130
0.30,46.42981,7.71691,75.18797,-1.74632
0.35,49.95567,7.62327,66.22517,-1.99894
0.40,53.08397,7.51705,59.17160,-2.24994
0.45,55.89536,7.39830,53.47594,-2.49979
0.50,58.44817,7.26708,48.78049,-2.74878
0.55,60.78600,7.12343,44.84305,-2.99713
0.60,62.94225,6.96738,41.49378,-3.24498
0.65,64.94312,6.79894,38.61004,-3.49243
0.70,66.80949,6.61814,36.10108,-3.73957
0.75,68.55832,6.42499,33.89831,-3.98644
0.80,70.20354,6.21950,31.94888,-4.23310
0.85,71.75674,6.00168,30.21148,-4.47958
0.90,73.22767,5.77154,28.65330,-4.72590
0.95,74.62461,5.52909,27.24796,-4.97210
1.00,75.95465,5.27434,25.97403,-5.21818
1.05,77.22391,5.00728,24.81390,-5.46417
1.10,78.43769,4.72792,23.75297,-5.71007
1.15,79.60066,4.43627,22.77904,-5.95590
1.20,80.71688,4.13233,21.88184,-6.20166
1.25,81.78997,3.81611,21.05263,-6.44737
1.30,82.82315,3.48760,20.28398,-6.69302
1.35,83.81927,3.14680,19.56947,-6.93863
1.40,84.78091,2.79373,18.90359,-7.18420
1.45,85.71036,2.42839,18.28154,-7.42973
1.50,86.60972,2.05076,17.69912,-7.67522
1.55,87.48087,1.66086,17.15266,-7.92069
1.60,88.32553,1.25869,16.63894,-8.16612
1.65,89.14526,0.84425,16.15509,-8.41153
