Time ,O2,CO,CO2
0,0.16552,0.28965,0
0.4,0.14267,0.24965,0.062848
0.8,0.11982,0.20966,0.1257
1.2,0.096973,0.16966,0.18854
1.6,0.074125,0.12965,0.25139
2,0.051277,0.089655,0.31424
2.4,0.028429,0.049655,0.37709
2.8,0.0055807,0.009655,0.43994
3.2,6.55E-05,-4.12E-07,0.45511
3.6,6.55E-05,-4.12E-07,0.45511
4,6.55E-05,-4.12E-07,0.45511
4.4,6.55E-05,-4.12E-07,0.45511
4.8,6.55E-05,-4.12E-07,0.45511
5.2,6.55E-05,-4.12E-07,0.45511
5.6,6.55E-05,-4.12E-07,0.45511
6,6.55E-05,-4.12E-07,0.45511
6.4,6.55E-05,-4.12E-07,0.45511
6.8,6.55E-05,-4.12E-07,0.45511
7.2,6.55E-05,-4.12E-07,0.45511
7.6,6.55E-05,-4.12E-07,0.45511
8,6.55E-05,-4.12E-07,0.45511
8.4,6.55E-05,-4.12E-07,0.45511
8.8,6.55E-05,-4.12E-07,0.45511
9.2,6.55E-05,-4.12E-07,0.45511
9.6,6.55E-05,-4.12E-07,0.45511
10,6.55E-05,-4.12E-07,0.45511
