s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-4.730E-03, 1.796E-05, 1.196E+00
 2.019E-01, 8.746E+00, 8.861E+00, 9.373E-05, 1.196E+00
 4.001E-01, 2.396E+01, 2.538E+01, 1.047E-03, 1.196E+00
 6.003E-01, 3.707E+01, 4.109E+01, 3.174E-02, 1.196E+00
 8.009E-01, 4.807E+01, 5.522E+01, 6.139E-02, 1.196E+00
 1.001E+00, 5.578E+01, 6.368E+01, 6.925E-02, 1.196E+00
 1.201E+00, 5.941E+01, 6.548E+01, 8.425E-02, 1.196E+00
 1.400E+00, 6.155E+01, 6.939E+01, 6.096E-02, 1.196E+00
 1.601E+00, 6.291E+01, 7.267E+01, 7.224E-02, 1.196E+00
 1.800E+00, 6.365E+01, 7.231E+01, 6.885E-02, 1.196E+00
 2.001E+00, 6.403E+01, 7.213E+01, 5.703E-02, 1.196E+00
 2.201E+00, 6.439E+01, 7.320E+01, 5.758E-02, 1.196E+00
 2.400E+00, 6.457E+01, 7.307E+01, 6.446E-02, 1.196E+00
 2.601E+00, 6.470E+01, 7.155E+01, 6.711E-02, 1.196E+00
 2.801E+00, 6.471E+01, 7.280E+01, 6.289E-02, 1.196E+00
 3.000E+00, 6.482E+01, 7.324E+01, 5.412E-02, 1.196E+00
 3.201E+00, 6.494E+01, 7.504E+01, 5.727E-02, 1.196E+00
 3.401E+00, 6.505E+01, 7.408E+01, 4.889E-02, 1.196E+00
 3.601E+00, 6.508E+01, 7.530E+01, 6.446E-02, 1.196E+00
 3.800E+00, 6.505E+01, 7.462E+01, 6.846E-02, 1.196E+00
 4.000E+00, 6.490E+01, 7.400E+01, 6.601E-02, 1.196E+00
 4.201E+00, 6.502E+01, 7.365E+01, 7.539E-02, 1.196E+00
 4.401E+00, 6.520E+01, 7.440E+01, 7.054E-02, 1.196E+00
 4.601E+00, 6.528E+01, 7.529E+01, 7.533E-02, 1.196E+00
