s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 0.0000000E+000, 8.8091427E-020, 8.2258463E-003, 1.8089887E-005, 1.1984476E+000
 1.9764236E-001, 1.2364913E-001, 1.3194790E-001, 1.8089887E-005, 1.1984476E+000
 2.9646352E-001, 2.4720130E-001, 2.5520723E-001, 1.8089887E-005, 1.1984476E+000
 3.9528471E-001, 3.2946999E-001, 3.3616903E-001, 1.8089887E-005, 1.1984476E+000
 4.9410588E-001, 4.1164141E-001, 4.1541930E-001, 1.8089887E-005, 1.1984476E+000
 5.9292704E-001, 4.9369925E-001, 4.9311632E-001, 1.8089887E-005, 1.1984476E+000
 6.9174826E-001, 5.7562841E-001, 5.7186065E-001, 1.8089887E-005, 1.1984476E+000
 7.7446854E-001, 6.4410010E-001, 6.4264018E-001, 1.8089887E-005, 1.1984476E+000
 8.5718888E-001, 7.1246407E-001, 7.1631548E-001, 1.8089887E-005, 1.1984476E+000
 9.2728245E-001, 7.7030319E-001, 7.7611209E-001, 1.8089887E-005, 1.1984476E+000
 1.0592835E+000, 8.5352171E-001, 8.5780424E-001, 1.8089887E-005, 1.1984476E+000
 1.1211909E+000, 9.2984678E-001, 9.3189279E-001, 1.8089887E-005, 1.1984476E+000
 1.2362605E+000, 1.0024034E+000, 1.0050564E+000, 3.7949921E-005, 1.1984476E+000
 1.3425848E+000, 1.0893785E+000, 1.0960105E+000, 5.9929319E-005, 1.1984476E+000
 1.4377234E+000, 1.1692766E+000, 1.1770283E+000, 2.0120947E-005, 1.1984476E+000
 1.5328618E+000, 1.2466857E+000, 1.2563202E+000, 7.2907289E-005, 1.1984476E+000
 1.6170036E+000, 1.3172026E+000, 1.3343944E+000, 1.0593613E-004, 1.1984476E+000
 1.7011452E+000, 1.3853158E+000, 1.4088774E+000, 6.1994150E-005, 1.1984476E+000
 1.8178709E+000, 1.4663856E+000, 1.4850667E+000, 1.8089887E-005, 1.1984476E+000
 1.9298532E+000, 1.5564876E+000, 1.5779108E+000, 2.4721308E-005, 1.1984476E+000
 2.0004792E+000, 1.6297240E+000, 1.6527067E+000, 6.4535860E-005, 1.1984476E+000
 2.1003754E+000, 1.6962955E+000, 1.7272434E+000, 7.9775314E-005, 1.1984476E+000
 2.2002716E+000, 1.7759482E+000, 1.8064816E+000, 1.8089887E-005, 1.1984476E+000
 2.3199568E+000, 1.8618395E+000, 1.8974736E+000, 1.8742342E-005, 1.1984476E+000
 2.4097207E+000, 1.9447594E+000, 1.9839750E+000, 6.7684018E-005, 1.1984476E+000
 2.5230808E+000, 2.0255013E+000, 2.0697343E+000, 4.2550023E-005, 1.1984476E+000
 2.6033576E+000, 2.0997632E+000, 2.1473892E+000, 4.8449818E-005, 1.1984476E+000
 2.7103930E+000, 2.1731487E+000, 2.2265494E+000, 7.3042861E-005, 1.1984476E+000
